jd G eG binepoch_G R eR binepoch_R c ec binepoch_c g eg binepoch_g i ei binepoch_i o eo binepoch_o r er binepoch_r
95.9178435427935 nan nan 0 nan nan 0 nan nan 0 15.651200564806617 0.040915999561548226 1 nan nan 0 nan nan 0 15.280100270668887 0.0436049997806549 1
95.9178435427935 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.280099042246883 0.04360523819923401 1
97.05645679999142 nan nan 0 nan nan 0 15.437 0.009 1 15.546153538802736 0.045 1 nan nan 0 nan nan 0 nan nan 0
97.05645679999142 nan nan 0 nan nan 0 15.434 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
97.05645679999142 nan nan 0 nan nan 0 15.445 0.011 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
97.05645679999142 nan nan 0 nan nan 0 15.417 0.013 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
97.61882879994809 nan nan 0 nan nan 0 15.44 0.008 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
97.61882879994809 nan nan 0 nan nan 0 15.461 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
97.61882879994809 nan nan 0 nan nan 0 15.47 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
97.61882879994809 nan nan 0 nan nan 0 15.444 0.01 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
97.61882879994809 nan nan 0 nan nan 0 15.483 0.011 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
98.93384260001282 nan nan 0 nan nan 0 nan nan 0 15.576000353844991 0.040600001811981194 1 nan nan 0 nan nan 0 15.29465507794351 0.028229989111423485 1
98.93384260001282 nan nan 0 nan nan 0 nan nan 0 15.576001594824932 0.040600065141916275 1 nan nan 0 nan nan 0 15.294699803137068 0.028230000287294388 1
98.93384260001282 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.28832749393038 0.021156661212444305 1
98.93384260001282 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.288300072988193 0.021157000213861465 1
99.7710957499221 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.149 0.012 1 nan nan 0
99.7710957499221 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.161 0.012 1 nan nan 0
99.7710957499221 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.151 0.01 1 nan nan 0
99.7710957499221 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.167 0.009 1 nan nan 0
100.9646196000278 nan nan 0 nan nan 0 nan nan 0 15.423577310714174 0.08 1 nan nan 0 15.2 0.009 1 nan nan 0
100.9646196000278 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.183 0.009 1 nan nan 0
100.9646196000278 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.168 0.009 1 nan nan 0
100.9646196000278 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.098 0.008 1 nan nan 0
101.74094396666624 nan nan 0 nan nan 0 nan nan 0 15.654899610496438 0.03490300104022026 1 nan nan 0 15.189 0.009 1 nan nan 0
101.74094396666624 nan nan 0 nan nan 0 nan nan 0 15.654900811562694 0.03490310907363891 1 nan nan 0 15.175 0.009 1 nan nan 0
101.74094396666624 nan nan 0 nan nan 0 nan nan 0 15.676750684893948 0.0491059385240078 1 nan nan 0 15.193 0.009 1 nan nan 0
101.74094396666624 nan nan 0 nan nan 0 nan nan 0 15.676800181903436 0.049106001853942864 1 nan nan 0 15.174 0.009 1 nan nan 0
