phase,L,eL
99.7710957499221,2.2762532186153674e+42,2.287100020983918e+41
100.9646196000278,2.2799737062139657e+42,2.5322594381078164e+41
100.9646196000278,2.1075387295211843e+42,2.117581573566931e+41
100.9646196000278,2.136857513742546e+42,2.1470400676657065e+41
100.9646196000278,2.2791639357795253e+42,2.28774948287453e+41
101.74094396666624,2.0521010054101734e+42,2.1096071066222086e+41
101.74094396666624,2.0657003137575743e+42,2.1235877898896e+41
101.74094396666624,2.0282403924512513e+42,2.1268011835891e+41
101.74094396666624,2.0466278649739126e+42,2.146082393048729e+41
101.74094396666624,2.0728866962308836e+42,2.096708408036636e+41
101.74094396666624,2.0901409029574547e+42,2.1050019495355752e+41
101.74094396666624,2.0015920354661852e+42,2.085864398243437e+41
101.74094396666624,2.1546441980578836e+42,2.1869294051308135e+41
102.85857562505407,2.1309613078948914e+42,2.1554504158804766e+41
102.85857562505407,2.1192176593025077e+42,2.1435718087238722e+41
102.85857562505407,2.0978554686435388e+42,2.1186593254183843e+41
102.85857562505407,2.2068639698045538e+42,2.2746656074957385e+41
102.85857562505407,1.9363130134757635e+42,2.1934016568678536e+41
102.85857562505407,1.922098165685704e+42,2.130263283574137e+41
102.85857562505407,1.922098165685704e+42,2.1125996427698864e+41
102.85857562505407,1.876616645818541e+42,2.2510431267547287e+41
103.86236505000852,1.976367609809949e+42,2.100132490716529e+41
103.86236505000852,1.9437329057825422e+42,2.1284701687826783e+41
104.72421000013128,1.887661009388576e+42,3.199242433815019e+41
107.90374420001172,1.9251743015141966e+42,2.1069184312365624e+41
109.0393048999055,2.0356114783377742e+42,2.1770078846347053e+41
109.0393048999055,2.0234355397856355e+42,2.0353327227937222e+41
109.0393048999055,1.988334159359422e+42,2.0000249569707143e+41
109.0393048999055,1.9828477722596264e+42,1.9922964389267315e+41
109.93951389985159,2.1194071042513923e+42,2.3988620962019763e+41
110.93944882000797,2.045497388843849e+42,2.1125599456110203e+41
110.93944882000797,2.0307220680853966e+42,2.0991507608217837e+41
110.93944882000797,2.0153546575092933e+42,2.100308104999524e+41
110.93944882000797,2.0038898605589795e+42,2.0853233382874285e+41
113.06487350002863,1.8760312685314736e+42,1.8893699807801113e+41
113.06487350002863,1.867411687817083e+42,1.8783914982259455e+41
113.06487350002863,1.872578672160199e+42,1.881501884485777e+41
113.06487350002863,1.8502911545552877e+42,1.8591081623967734e+41
113.72322820004774,1.8497034683264373e+42,1.8913274755002882e+41
113.72322820004774,1.8571553316335916e+42,1.8989473238456866e+41
113.72322820004774,1.883216536122636e+42,1.89219044000005e+41
113.72322820004774,1.826838934624895e+42,1.839827885972515e+41
114.94192679999396,1.698782429090812e+42,1.83775346477464e+41
114.94192679999396,1.6939487197396836e+42,1.7082725808492702e+41
114.94192679999396,1.6523432055533332e+42,1.6663152545923102e+41
114.94192679999396,1.6955096228799478e+42,1.7075648137255112e+41
115.85099440012127,1.651759892884655e+42,1.8309681921243405e+41
115.85099440012127,1.7510403924233977e+42,1.8555523559641776e+41
115.85099440012127,1.7564377642250553e+42,1.911129805334663e+41
117.89325809990987,1.647296315458043e+42,1.7546117334258425e+41
117.89325809990987,1.6472613692409096e+42,1.754574763027753e+41
117.89325809990987,1.644370440957015e+42,1.7697769385915877e+41
117.89325809990987,1.644386487978558e+42,1.769794037248732e+41
119.00470025010873,1.5854612680828545e+42,1.5967340075041283e+41
119.00470025010873,1.582543428752139e+42,1.5937954221336888e+41
119.00470025010873,1.576723849941934e+42,1.5900564692659783e+41
119.00470025010873,1.5738220907153553e+42,1.585012074779445e+41
119.79160105000483,1.5875902690667055e+42,1.6419547096304165e+41
119.79160105000483,1.5468414575163836e+42,1.5976881545978335e+41
119.79160105000483,1.5665436973624605e+42,1.6059024443803429e+41
119.79160105000483,1.5573120527207254e+42,1.5964391323753798e+41
121.01968174998183,1.632151310931044e+42,1.6437560197906076e+41
121.01968174998183,1.5818322230297195e+42,1.5952080382461497e+41
121.01968174998183,1.5731148044212507e+42,1.5842997596308043e+41
121.01968174998183,1.6261493061761837e+42,1.637711340366256e+41
122.972968259966,1.6430626099672496e+42,1.6835777467122633e+41
