phase,L1,L2,L3
303.3026052104208361,2.6928406201122812262e+41,1.8956024860853408154e+40,2.8077480674830186418e+41
305.30460921843689448,2.6384479515384429994e+41,1.8443161980202742707e+40,2.7502120655890490208e+41
307.30661322645289601,2.585038135937408633e+41,1.794569060360375301e+40,2.6937403548992586568e+41
309.3086172344689544,2.5325972499782338953e+41,1.7463096410229782409e+40,2.6383168704771014414e+41
311.31062124248501277,2.481111485878526588e+41,1.6994884191952308457e+40,2.583925737106773093e+41
313.3126252505010143,2.430567147408571091e+41,1.6540577052458891636e+40,2.5305512610069441496e+41
315.31462925851707269,2.3809506444629108896e+41,1.6099715616373684822e+40,2.4781779202652153263e+41
317.31663326653307422,2.3322484971503522464e+41,1.5671857403215280851e+40,2.4267903657762500104e+41
319.3186372745491326,2.2844473275051281562e+41,1.5256576048474236608e+40,2.3763734090505816301e+41
321.32064128256513413,2.2375338634326131044e+41,1.4853460724987162097e+40,2.3269120234295929338e+41
323.3226452905811925,2.191494936624371297e+41,1.4462115501248185355e+40,2.2783913389931108486e+41
325.32464929859719405,2.146317479345633833e+41,1.4082158710453723219e+40,2.230796636444877131e+41
327.32665330661325243,2.1019885296906107039e+41,1.3713222453959771878e+40,2.1841133502791404493e+41
329.32865731462925396,2.0584952252224881417e+41,1.3354951973388618683e+40,2.138327059624492183e+41
331.33066132264531234,2.0158248080491277383e+41,1.3007005193192513271e+40,2.0934234915284260318e+41
333.33266533066131387,1.9739646238673713e+41,1.2669052204027446109e+40,2.0493885179018595396e+41
335.33466933867737225,1.9329021201568180148e+41,1.2340774757320338353e+40,2.0062081516937299295e+41
337.33667334669343063,1.8926248519024141795e+41,1.2021865869799211365e+40,1.9638685512555054695e+41
339.33867735470943217,1.8531204764629550756e+41,1.171202931498368213e+40,1.9223560131932156732e+41
341.34068136272549054,1.8143767591185067365e+41,1.1410979260334348504e+40,1.8816569767659098232e+41
343.34268537074149208,1.7763815726514872567e+41,1.1118439849329439147e+40,1.84175802199319158e+41
345.34468937875755046,1.7391228963477684955e+41,1.0834144794988304611e+40,1.8026458672418193034e+41
347.346693386773552,1.7025888216760340585e+41,1.0557837063601790127e+40,1.7643073740330194245e+41
349.34869739478961037,1.6667675478739169607e+41,1.02892684610469947175e+40,1.7267295411500851473e+41
351.3507014028056119,1.6316473874993876253e+41,1.0028199344031804583e+40,1.68989950946145760915e+41
353.35270541082167028,1.5972167661399280536e+41,9.774398280445138999e+39,1.65380456057472088435e+41
355.35470941883767182,1.5634642217949084864e+41,9.5276417212090598735e+39,1.6184321152111913039e+41
357.3567134268537302,1.530378410173475775e+41,9.2877137463438208226e+39,1.5837697379419751785e+41
359.35871743486973173,1.4979481006544723522e+41,9.054405726936329171e+39,1.5498051320310459034e+41
361.3607214428857901,1.4661621815307218121e+41,8.82751609464962492e+39,1.5165261442191686037e+41
363.3627254509018485,1.4350096595880752441e+41,8.606850064432709184e+39,1.4839207635198885194e+41
365.36472945891785002,1.4044796595908512089e+41,8.392219368632040475e+39,1.4519771199639726314e+41
367.3667334669339084,1.3745614289982684141e+41,8.183442052312542577e+39,1.4206834889440162541e+41
369.36873747494990994,1.3452443340804553131e+41,7.9803421958662276005e+39,1.3900282864561567119e+41
371.37074148296596832,1.3165178646751939565e+41,7.7827497305046463023e+39,1.3600000735580171207e+41
373.37274549098196985,1.2883716334934296347e+41,7.5905002108667474545e+39,1.3305875550651054158e+41
375.37474949899802823,1.2607953755392796285e+41,7.4034345988284845687e+39,1.3017795784040459558e+41
377.37675350701402976,1.2337789521505535807e+41,7.221399097897636669e+39,1.2735651373914029761e+41
379.37875751503008814,1.2073123471520274856e+41,7.0442449246426018676e+39,1.2459333676734868007e+41
381.38076152304608968,1.181385671034974948e+41,6.8718281605985487436e+39,1.2188735507018983007e+41
383.38276553106214806,1.1559891599282370434e+41,6.7040095649940108876e+39,1.192375112206575378e+41
385.38476953907820644,1.1311131748696648338e+41,6.540654398372365414e+39,1.1664276210106395002e+41
387.38677354709420797,1.106748205148475274e+41,6.381632288111631557e+39,1.1410207921723176813e+41
389.38877755511026635,1.0828848644403277843e+41,6.226817039328508513e+39,1.1161444825178508236e+41
391.39078156312626788,1.0595138943905641388e+41,6.0760865157171729807e+39,1.0917886940697621947e+41
393.39278557114232626,1.0366261632467888956e+41,5.929322484668163071e+39,1.0679435722529076512e+41
395.3947895791583278,1.0142126649489749617e+41,5.7864104729100595254e+39,1.044599404601802101e+41
397.39679358717438618,9.922645218022536303e+40,5.647239656911870595e+39,1.021746623263545663e+41
399.3987975951903877,9.707729805878861506e+40,5.511702705845486577e+39,9.993758005820181336e+40
401.4008016032064461,9.497294155656880086e+40,5.3796956854811802168e+39,9.774776519743022321e+40
403.40280561122244762,9.291253268018822908e+40,5.251117929579597155e+39,9.560430338773035778e+40
405.404809619238506,9.089523390845837368e+40,5.1258719213731530594e+39,9.350629423286405899e+40
407.40681362725450754,8.892022039810327609e+40,5.0038632039422288695e+39,9.145285148712869121e+40
409.40881763527056592,8.6986679594245815216e+40,4.8850002493121725107e+39,8.944310261861601839e+40
411.4108216432866243,8.509381147736070089e+40,4.7691943807869018525e+39,8.747618904490945634e+40
413.41282565130262583,8.3240828370566199306e+40,4.6563596657303696316e+39,8.5551265905525018885e+40
415.4148296593186842,8.142695481601847668e+40,4.5464128179825604728e+39,8.3667501908471269295e+40
417.41683366733468574,7.9651427726764907583e+40,4.4392731243229040263e+39,8.1824079467314083417e+40
419.41883767535074412,7.7913495999200640097e+40,4.334862334956157905e+39,8.002019427115549535e+40
421.42084168336674566,7.6212420713173633034e+40,4.233104600634482301e+39,7.825505547364841695e+40
423.42284569138280403,7.4547474919183025124e+40,4.1339263829278651863e+39,7.6527885448374004e+40
425.42484969939880557,7.2917943503509615735e+40,4.0372563736521028314e+39,7.4837919626602281254e+40
427.42685370741486395,7.1323123293843904543e+40,3.9430254343333222817e+39,7.318440658840782395e+40
429.42885771543086548,6.976232267729819829e+40,3.8511665042777654027e+39,7.1566607642234698172e+40
431.43086172344692386,6.823486175987912007e+40,3.7616145495749948433e+39,6.9983796973363272992e+40
433.4328657314629254,6.6740072140045211055e+40,3.6743064877295824144e+39,6.843526138783754043e+40
435.43486973947898377,6.5277296765860702803e+40,3.589181120958586128e+39,6.692030014479324774e+40
437.43687374749504215,6.384589000228032602e+40,3.5061790862040433255e+39,6.5438225009248269787e+40
439.4388777555110437,6.2445217258375650073e+40,3.4252427776996335495e+39,6.3988359844325263715e+40
441.44088176352710207,6.107465511220859262e+40,3.3463163055557485497e+39,6.2570040725452294238e+40
443.4428857715431036,5.9733591076462065974e+40,3.2693454322256524542e+39,6.118261567826509688e+40
445.44488977955916198,5.842142345142559887e+40,3.1942775171439332992e+39,5.9825444508920050465e+40
447.44689378757516351,5.7137561360782181537e+40,3.1210614753237182887e+39,5.8497898825804043244e+40
449.4488977955912219,5.5881424391429481066e+40,3.0496477119267990222e+39,5.719936164726039196e+40
451.45090180360722343,5.4652442689575093396e+40,2.979988088584924754e+39,5.5929227487477907584e+40
