# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459871.689257 16.25 0.016 1148 18 c 0 2.93 8.69039 -8.38667 8306.9 7024.76 2.96 2.52 -24.2 -0.372 19.4 21.27 04a59871o0452c
2459871.719793 16.235 0.015 1164 18 c 0 3.0 8.69039 -8.38667 8255.48 6927.99 2.63 2.25 -30.8 -0.398 19.49 21.22 04a59871o0518c
2459871.722944 16.268 0.017 1129 19 c 0 2.33 8.69039 -8.38667 8236.57 7042.3 2.69 2.28 -27.9 -0.402 19.45 21.24 04a59871o0525c
2459872.881529 16.281 0.016 1116 18 c 0 2.18 8.69039 -8.38667 6294.36 5333.53 2.63 2.32 34.0 -0.405 19.59 21.32 02a59872o0418c
2459872.916148 16.255 0.016 1143 18 c 0 1.56 8.69039 -8.38667 6271.25 5295.1 2.56 2.36 40.3 -0.406 19.6 21.31 02a59872o0493c
2459872.919312 16.243 0.016 1155 19 c 0 1.73 8.69039 -8.38667 6331.05 5373.85 2.59 2.37 40.7 -0.401 19.61 21.33 02a59872o0500c
2459872.929256 16.28 0.015 1117 17 c 0 1.49 8.69039 -8.38667 6353.06 5258.64 2.6 2.36 44.4 -0.399 19.57 21.34 02a59872o0522c
2459875.662385 16.313 0.015 1084 17 c 0 3.12 8.69039 -8.38667 6344.96 7088.74 2.29 2.03 -40.0 -0.399 19.64 21.45 04a59875o0390c
2459875.666524 16.324 0.016 1073 17 c 0 2.69 8.69039 -8.38667 6364.46 7123.1 2.3 2.03 -37.1 -0.399 19.63 21.45 04a59875o0399c
2459875.691816 16.32 0.014 1077 15 c 0 4.17 8.69039 -8.38667 6315.51 7026.72 2.26 2.04 -56.0 -0.401 19.61 21.38 04a59875o0453c
2459875.697314 16.32 0.017 1076 18 c 0 2.5 8.69039 -8.38667 6296.82 7138.49 2.2 1.95 -50.5 -0.405 19.63 21.39 04a59875o0465c
2459876.883612 16.41 0.017 991 16 c 0 2.07 8.69039 -8.38667 6082.5 1455.44 2.77 2.61 -88.4 -0.406 19.47 21.35 02a59876o0384c
2459876.886793 16.347 0.016 1050 17 c 0 2.07 8.69039 -8.38667 6064.24 1421.43 2.64 2.49 -87.1 -0.406 19.49 21.35 02a59876o0391c
2459876.892677 16.376 0.016 1022 17 c 0 1.9 8.69039 -8.38667 6122.86 1497.92 2.57 2.42 88.8 -0.408 19.51 21.36 02a59876o0404c
2459876.902809 16.344 0.018 1052 19 c 0 1.44 8.69039 -8.38667 6142.79 1382.82 2.64 2.49 -78.9 -0.41 19.54 21.37 02a59876o0426c
2459879.630473 16.374 0.017 1024 18 c 0 1.58 8.69039 -8.38667 6332.17 7109.39 2.25 2.05 -30.9 -0.396 19.62 21.49 04a59879o0311c
2459879.663823 16.429 0.017 974 16 c 0 3.06 8.69039 -8.38667 6368.7 7117.18 2.3 2.05 -32.2 -0.401 19.65 21.57 04a59879o0384c
2459879.666979 16.407 0.016 993 16 c 0 2.28 8.69039 -8.38667 6311.8 7037.54 2.34 2.1 -36.5 -0.394 19.65 21.57 04a59879o0391c
2459879.672384 16.413 0.016 988 16 c 0 3.64 8.69039 -8.38667 6293.57 7149.01 2.4 2.08 -49.5 -0.395 19.64 21.56 04a59879o0403c
2459880.925995 16.408 0.017 992 17 c 0 1.36 8.69039 -8.38667 6079.31 1459.1 2.48 2.33 -81.8 -0.406 19.52 21.22 02a59880o0241c
2459880.929608 16.453 0.017 953 17 c 0 1.72 8.69039 -8.38667 6060.52 1420.22 2.52 2.35 -83.4 -0.399 19.49 21.2 02a59880o0249c
2459880.935934 16.448 0.019 957 18 c 0 1.23 8.69039 -8.38667 6118.21 1499.4 2.63 2.46 -77.6 -0.399 19.44 21.17 02a59880o0263c
2459880.960519 16.494 0.02 917 18 c 0 1.6 8.69039 -8.38667 6142.16 1384.34 2.55 2.39 -79.3 -0.399 19.42 21.12 02a59880o0278c
2459897.342552 16.554 0.022 868 19 c 0 1.32 8.69039 -8.38667 8115.34 7049.91 2.74 2.36 -55.2 -0.388 19.67 21.59 03a59897o0204c
2459897.345271 16.589 0.021 840 17 c 0 1.92 8.69039 -8.38667 8132.26 7089.15 2.89 2.45 -56.8 -0.386 19.61 21.6 03a59897o0210c
2459897.351153 16.558 0.019 864 17 c 0 1.65 8.69039 -8.38667 8073.58 7010.92 2.94 2.41 -56.1 -0.385 19.61 21.62 03a59897o0223c
2459897.361085 16.567 0.019 857 16 c 0 2.12 8.69039 -8.38667 8048.29 7127.73 2.69 2.28 -55.8 -0.391 19.7 21.64 03a59897o0245c
2459898.841968 16.632 0.02 808 16 c 0 1.59 8.69039 -8.38667 7907.25 1237.14 3.01 2.91 29.5 -0.384 19.66 21.48 01a59898o0345c
2459898.853142 16.629 0.019 810 15 c 0 1.86 8.69039 -8.38667 7929.45 1279.17 2.96 2.91 45.1 -0.392 19.63 21.43 01a59898o0369c
2459898.857776 16.608 0.02 826 17 c 0 1.29 8.69039 -8.38667 7871.88 1202.32 2.93 2.87 33.6 -0.393 19.64 21.46 01a59898o0379c
2459898.868979 16.607 0.02 826 16 c 0 1.62 8.69039 -8.38667 7853.75 1320.88 2.83 2.75 65.5 -0.407 19.65 21.4 01a59898o0403c
2459901.332196 16.625 0.021 813 17 c 0 2.49 8.69039 -8.38667 8111.75 7050.59 2.67 2.2 -56.8 -0.39 19.49 21.29 03a59901o0173c
2459901.335356 16.675 0.025 776 19 c 0 1.69 8.69039 -8.38667 8128.32 7090.26 2.67 2.2 -53.3 -0.392 19.39 21.18 03a59901o0180c
