# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459795.107451 15.229 0.009 2939 25 o 0 4.12 8.69039 -8.38667 1715.67 3038.81 2.87 2.61 -46.3 -0.491 19.39 20.83 01a59794o0348o
2459795.115028 15.234 0.01 2926 29 o 0 2.37 8.69039 -8.38667 1656.33 2963.15 2.85 2.65 -44.5 -0.496 19.35 20.77 01a59794o0364o
2459795.122832 15.237 0.01 2918 30 o 0 2.28 8.69039 -8.38667 1641.56 3080.71 2.81 2.61 -44.7 -0.509 19.15 20.22 01a59794o0380o
2459799.759673 15.149 0.012 3165 38 o 0 0.96 8.69039 -8.38667 2577.04 7478.75 3.34 2.97 -86.5 -0.377 18.69 20.03 04a59799o0590o
2459799.762402 15.161 0.012 3131 38 o 0 1.68 8.69039 -8.38667 2558.28 7438.59 3.37 2.96 -85.7 -0.374 18.76 20.04 04a59799o0596o
2459799.778384 15.151 0.01 3159 32 o 0 1.77 8.69039 -8.38667 2622.16 7513.96 3.2 2.81 -86.3 -0.333 18.76 20.11 04a59799o0631o
2459799.783924 15.167 0.009 3112 29 o 0 2.61 8.69039 -8.38667 2643.5 7397.19 2.83 2.42 -84.7 -0.342 18.93 20.14 04a59799o0643o
2459801.025737 15.2 0.009 3021 28 o 0 4.07 8.69039 -8.38667 9908.97 1067.18 2.36 1.78 -64.4 -0.478 19.19 20.01 02a59800o0618o
2459801.027561 15.183 0.009 3068 27 o 0 4.07 8.69039 -8.38667 9926.41 1106.61 2.3 1.76 -64.2 -0.489 19.17 20.03 02a59800o0622o
2459801.030315 15.168 0.009 3111 29 o 0 2.73 8.69039 -8.38667 9867.72 1028.91 2.38 1.83 -63.5 -0.486 19.18 20.05 02a59800o0628o
2459801.047915 15.098 0.008 3319 26 o 0 8.08 8.69039 -8.38667 9847.88 1148.72 2.22 1.64 -65.1 -0.597 19.35 20.34 02a59800o0665o
2459801.505675 15.189 0.009 3051 27 o 0 4.19 8.69039 -8.38667 442.48 5447.75 2.33 2.11 -63.7 -0.401 18.96 19.53 03a59801o0638o
2459801.509367 15.175 0.009 3090 28 o 0 3.8 8.69039 -8.38667 424.21 5408.23 2.22 2.03 -62.5 -0.406 19.01 19.54 03a59801o0645o
2459801.515827 15.193 0.009 3041 29 o 0 3.67 8.69039 -8.38667 478.9 5488.44 2.27 2.06 -57.5 -0.404 19.0 19.54 03a59801o0657o
2459801.525621 15.174 0.009 3094 29 o 0 2.65 8.69039 -8.38667 498.24 5373.9 2.35 2.16 -30.3 -0.406 18.94 19.57 03a59801o0676o
2459801.782822 15.201 0.014 3018 41 o 0 2.71 8.69039 -8.38667 6214.14 3410.74 2.06 1.92 -18.2 -0.421 18.18 18.6 04a59801o0695o
2459801.78554 15.192 0.011 3042 34 o 0 5.16 8.69039 -8.38667 6195.54 3372.01 2.01 1.83 -25.1 -0.45 18.38 18.67 04a59801o0701o
2459801.81352 15.239 0.027 2914 79 o 0 1.89 8.69039 -8.38667 6272.0 3444.81 1.99 1.79 -36.5 -0.444 17.28 17.29 04a59801o0757o
2459801.817701 15.159 0.016 3135 52 o 0 2.28 8.69039 -8.38667 6293.67 3328.1 1.99 1.77 -30.7 -0.455 17.79 17.94 04a59801o0766o
2459802.679026 15.171 0.014 3103 43 o 0 1.24 8.69039 -8.38667 6205.49 3414.76 2.33 2.15 -17.7 -0.377 18.01 18.6 04a59802o0473o
2459802.682182 15.177 0.014 3084 42 o 0 1.69 8.69039 -8.38667 6185.78 3376.0 2.26 2.14 -21.5 -0.396 18.18 18.62 04a59802o0480o
2459802.688268 15.188 0.013 3053 40 o 0 1.59 8.69039 -8.38667 6242.41 3454.57 2.13 1.93 -21.8 -0.402 18.03 18.35 04a59802o0491o
2459802.708251 15.133 0.023 3213 73 o 0 1.06 8.69039 -8.38667 6258.69 3337.45 2.18 2.01 -25.6 -0.412 17.35 17.37 04a59802o0534o
2459803.007559 15.275 0.049 2818 139 o 0 1.1 8.69039 -8.38667 8562.63 3731.41 3.32 3.2 0.8 -0.413 16.7 16.88 01a59802o0607o
2459803.030821 15.283 0.044 2797 122 o 0 1.06 8.69039 -8.38667 8543.99 3685.37 3.46 3.23 -16.9 -0.423 16.96 17.22 01a59802o0656o
2459803.032641 15.283 0.042 2797 117 o 0 1.17 8.69039 -8.38667 8603.62 3759.99 3.53 3.39 -21.7 -0.399 16.93 17.22 01a59802o0660o
2459803.039857 15.309 0.061 2731 167 o 0 0.75 8.69039 -8.38667 8624.32 3642.9 3.4 3.22 -8.0 -0.416 16.77 17.04 01a59802o0675o
2459803.715305 15.227 0.043 2945 127 o 0 1.61 8.69039 -8.38667 6190.48 3377.41 2.28 2.07 -18.8 -0.399 16.68 16.42 04a59803o0572o
2459809.061479 15.273 0.009 2823 25 o 0 6.68 8.69039 -8.38667 2629.2 9389.49 1.98 1.91 21.8 -0.465 19.24 19.95 02a59808o0646o
2459809.066724 15.27 0.01 2831 27 o 0 3.49 8.69039 -8.38667 2613.22 9357.86 1.93 1.92 -88.0 -0.465 19.25 19.94 02a59808o0657o
2459809.102066 15.289 0.01 2783 28 o 0 3.53 8.69039 -8.38667 2666.69 9435.0 1.99 1.91 -66.7 -0.465 19.18 19.85 02a59808o0732o
2459809.1264979998 15.292 0.009 2774 26 o 0 5.99 8.69039 -8.38667 2689.1 9319.75 1.98 1.95 -39.8 -0.458 19.01 19.48 02a59808o0785o
2459810.974689 15.326 0.01 2689 26 o 0 2.18 8.69039 -8.38667 8957.97 9558.08 3.35 2.94 42.3 -0.408 19.18 20.55 01a59810o0544o
2459810.981066 15.351 0.011 2628 29 o 0 1.65 8.69039 -8.38667 8937.54 9518.08 3.52 3.09 39.1 -0.388 19.12 20.56 01a59810o0558o
2459810.986688 15.337 0.011 2661 29 o 0 1.66 8.69039 -8.38667 8999.35 9593.87 3.38 2.98 35.9 -0.404 19.18 20.58 01a59810o0570o
2459810.991721 15.35 0.01 2630 26 o 0 2.31 8.69039 -8.38667 9018.78 9474.28 3.54 3.04 37.6 -0.388 19.15 20.56 01a59810o0581o
2459813.042378 15.366 0.011 2591 28 o 0 1.72 8.69039 -8.38667 4479.6 7346.18 3.31 3.05 29.6 -0.396 19.06 20.71 02a59812o0679o
2459813.04776 15.371 0.01 2580 25 o 0 2.81 8.69039 -8.38667 4464.66 7308.98 2.77 2.3 32.6 -0.4 19.35 20.77 02a59812o0690o
2459813.083052 15.368 0.009 2587 23 o 0 3.4 8.69039 -8.38667 4521.74 7393.09 2.95 2.44 33.6 -0.399 19.27 20.7 02a59812o0766o
2459813.086304 15.381 0.009 2556 24 o 0 3.91 8.69039 -8.38667 4547.52 7281.6 2.87 2.3 34.9 -0.395 19.37 20.71 02a59812o0773o
