"obj_id","ra","dec","filter","mjd","snr","instrument_id","instrument_name","ra_unc","dec_unc","origin","id","altdata","annotations","mag","magerr","magsys","limiting_mag","Delete"
"ZTF22aapubuy","8.6903898","-8.3866904","ztfg","59839.3579051001","24.34367471180864","1","ZTF","","","None","302717812","","","16.064483667224813","0.044600341469049454","ab","17.78302399689256",""
"ZTF22aapubuy","8.6903926","-8.3866993","ztfg","59839.376226900145","35.49032442614652","1","ZTF","","","None","303011550","","","16.10144451918702","0.03059245645999908","ab","18.22929443175408",""
"ZTF22aapubuy","8.6903926","-8.3866993","ztfg","59839.376226900145","35.49085384366407","1","ZTF","","","None","302985732","","","16.101400425392317","0.030592000111937523","ab","18.229266534020933",""
"ZTF22aapubuy","","","ztfg","59839.376226900145","","1","ZTF","","","None","351036433","","","","","ab","20.333599090576172",""
"ZTF22aapubuy","8.6903872","-8.3867085","ztfg","59840.356099499855","26.501895752874365","1","ZTF","","","None","327383701","","","16.095810111040553","0.040968246757984154","ab","17.906577453492027",""
"ZTF22aapubuy","8.6903872","-8.3867085","ztfg","59840.356099499855","26.50205480380919","1","ZTF","","","None","327413228","","","16.095800496517814","0.040968000888824456","ab","17.90657435498768",""
"ZTF22aapubuy","8.6903881","-8.3866809","ztfg","59840.37501160009","39.66739194704672","1","ZTF","","","None","327415552","","","16.128599207960644","0.027371000498533245","ab","18.3772583156339",""
"ZTF22aapubuy","8.6903881","-8.3866809","ztfg","59840.37501160009","39.66678998186351","1","ZTF","","","None","327413229","","","16.128587853553217","0.027371415868401524","ab","18.377230484712122",""
"ZTF22aapubuy","8.6903922","-8.3866915","ztfg","59841.34282410005","39.70256436934827","1","ZTF","","","None","347186903","","","16.144819367627882","0.02734675258398056","ab","18.39444075313456",""
"ZTF22aapubuy","8.6903922","-8.3866915","ztfg","59841.34282410005","39.70220471059906","1","ZTF","","","None","347187177","","","16.144800298549775","0.027347000315785408","ab","18.394411848513077",""
"ZTF22aapubuy","8.690391","-8.3867072","ztfg","59841.34376160009","40.942693553548324","1","ZTF","","","None","347187178","","","16.12671332149792","0.0265184361487627","ab","18.40972933765157",""
"ZTF22aapubuy","8.690391","-8.3867072","ztfg","59841.34376160009","40.943366501728356","1","ZTF","","","None","347208946","","","16.12669961682721","0.026518000289797783","ab","18.40973347836755",""
"ZTF22aapubuy","8.6903917","-8.3867091","ztfg","59841.35915509984","26.987551582130965","1","ZTF","","","None","347232929","","","16.11090141230691","0.040231000632047646","ab","17.941385115025305",""
