###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59797.098103  15.461  0.009  2375   21 c  0   5.12   8.69039  -8.38667  6016.24  1307.28 2.30 2.18 -30.3 -0.424 19.89 21.85 03a59797o0674c
59797.103745  15.470  0.009  2356   22 c  0   4.18   8.69039  -8.38667  5957.37  1229.41 2.33 2.20 -27.5 -0.421 19.78 21.71 03a59797o0686c
59797.113820  15.444  0.010  2412   23 c  0   6.17   8.69039  -8.38667  5930.72  1347.63 2.35 2.22 -21.9 -0.419 19.56 21.50 03a59797o0707c
59797.184656  15.483  0.011  2326   26 c  0   3.15   8.69039  -8.38667  5954.04  1296.96 2.45 2.31 -17.8 -0.401 18.93 19.70 03a59797o0855c
59799.259673  15.149  0.012  3165   38 o  0   0.96   8.69039  -8.38667  2577.04  7478.75 3.34 2.97 -86.5 -0.377 18.69 20.03 04a59799o0590o
59799.262402  15.161  0.012  3131   38 o  0   1.68   8.69039  -8.38667  2558.28  7438.59 3.37 2.96 -85.7 -0.374 18.76 20.04 04a59799o0596o
59799.278384  15.151  0.010  3159   32 o  0   1.77   8.69039  -8.38667  2622.16  7513.96 3.20 2.81 -86.3 -0.333 18.76 20.11 04a59799o0631o
59799.283924  15.167  0.009  3112   29 o  0   2.61   8.69039  -8.38667  2643.50  7397.19 2.83 2.42 -84.7 -0.342 18.93 20.14 04a59799o0643o
59800.525737  15.200  0.009  3021   28 o  0   4.07   8.69039  -8.38667  9908.97  1067.18 2.36 1.78 -64.4 -0.478 19.19 20.01 02a59800o0618o
59800.527561  15.183  0.009  3068   27 o  0   4.07   8.69039  -8.38667  9926.41  1106.61 2.30 1.76 -64.2 -0.489 19.17 20.03 02a59800o0622o
59800.530315  15.168  0.009  3111   29 o  0   2.73   8.69039  -8.38667  9867.72  1028.91 2.38 1.83 -63.5 -0.486 19.18 20.05 02a59800o0628o
59800.547915  15.098  0.008  3319   26 o  0   8.08   8.69039  -8.38667  9847.88  1148.72 2.22 1.64 -65.1 -0.597 19.35 20.34 02a59800o0665o
59801.005675  15.189  0.009  3051   27 o  0   4.19   8.69039  -8.38667   442.48  5447.75 2.33 2.11 -63.7 -0.401 18.96 19.53 03a59801o0638o
59801.009367  15.175  0.009  3090   28 o  0   3.80   8.69039  -8.38667   424.21  5408.23 2.22 2.03 -62.5 -0.406 19.01 19.54 03a59801o0645o
59801.015827  15.193  0.009  3041   29 o  0   3.67   8.69039  -8.38667   478.90  5488.44 2.27 2.06 -57.5 -0.404 19.00 19.54 03a59801o0657o
59801.025621  15.174  0.009  3094   29 o  0   2.65   8.69039  -8.38667   498.24  5373.90 2.35 2.16 -30.3 -0.406 18.94 19.57 03a59801o0676o
59801.282822  15.201  0.014  3018   41 o  0   2.71   8.69039  -8.38667  6214.14  3410.74 2.06 1.92 -18.2 -0.421 18.18 18.60 04a59801o0695o
59801.285540  15.192  0.011  3042   34 o  0   5.16   8.69039  -8.38667  6195.54  3372.01 2.01 1.83 -25.1 -0.450 18.38 18.67 04a59801o0701o
59801.313520  15.239  0.027  2914   79 o  0   1.89   8.69039  -8.38667  6272.00  3444.81 1.99 1.79 -36.5 -0.444 17.28 17.29 04a59801o0757o
59801.317701  15.159  0.016  3135   52 o  0   2.28   8.69039  -8.38667  6293.67  3328.10 1.99 1.77 -30.7 -0.455 17.79 17.94 04a59801o0766o
59802.179026  15.171  0.014  3103   43 o  0   1.24   8.69039  -8.38667  6205.49  3414.76 2.33 2.15 -17.7 -0.377 18.01 18.60 04a59802o0473o
59802.182182  15.177  0.014  3084   42 o  0   1.69   8.69039  -8.38667  6185.78  3376.00 2.26 2.14 -21.5 -0.396 18.18 18.62 04a59802o0480o
59802.188268  15.188  0.013  3053   40 o  0   1.59   8.69039  -8.38667  6242.41  3454.57 2.13 1.93 -21.8 -0.402 18.03 18.35 04a59802o0491o
59802.208251  15.133  0.023  3213   73 o  0   1.06   8.69039  -8.38667  6258.69  3337.45 2.18 2.01 -25.6 -0.412 17.35 17.37 04a59802o0534o
