Wavelength(nm)	T%
617.5		3.71E-05
617		6.70E-05
616.5		7.85E-05
616		9.03E-05
615.5		3.31E-05
615		0.000103305
614.5		0.00016706
614		0.000141845
613.5		3.67E-05
613		5.72E-05
612.5		8.90E-05
612		0.000110306
611.5		9.82E-05
611		0.000154758
610.5		4.38E-05
610		6.48E-05
609.5		6.07E-05
609		-2.93E-05
608.5		0.00011483
608		0.00013468
607.5		-2.45E-05
607		2.98E-05
606.5		5.06E-05
606		1.66E-05
605.5		7.99E-05
605		0.00016927
604.5		0.000133829
604		0.000104791
603.5		3.74E-05
603		6.63E-05
602.5		6.72E-05
602		8.90E-05
601.5		3.85E-05
601		-2.63E-05
600.5		0.000196668
600		0.000189803
599.5		0.00010148
599		0.000122202
598.5		7.27E-05
598		0.000164113
597.5		2.68E-05
597		-8.59E-06
596.5		2.82E-05
596		1.03E-06
595.5		0.000102436
595		6.87E-05
594.5		7.73E-05
594		8.00E-05
593.5		0.000131213
593		-2.81E-05
592.5		2.86E-05
592		5.55E-05
591.5		1.36E-05
591		5.09E-05
590.5		0.000146186
590		-1.77E-05
589.5		7.68E-05
589		1.38E-05
588.5		2.12E-05
588		0.000137837
587.5		0.000157482
587		2.25E-06
586.5		0.00011028
586		3.00E-05
585.5		0.000228354
585		0.000104464
584.5		0.000109022
584		6.26E-05
583.5		0.00021397
583		8.19E-05
582.5		0.00016017
582		0.000207914
581.5		6.54E-05
581		0.000163015
580.5		9.79E-05
580		0.000110038
579.5		0.000107114
579		0.000161624
578.5		8.01E-05
578		-4.15E-05
577.5		-1.87E-05
577		6.17E-05
576.5		1.78E-05
576		0.000142553
575.5		0.000141801
575		0.000208279
574.5		-9.50E-05
574		2.44E-05
573.5		0.000104116
573		0.000147933
572.5		0.000198514
572		4.49E-05
571.5		6.93E-05
571		4.40E-05
570.5		-2.68E-07
570		-3.05E-05
569.5		2.87E-05
569		-3.79E-05
568.5		2.16E-05
568		6.11E-06
567.5		1.78E-05
567		0.000206958
566.5		0.00011385
566		2.81E-05
565.5		0.000175003
565		7.50E-05
564.5		5.53E-05
564		4.36E-05
563.5		0.000206721
563		3.48E-06
562.5		7.15E-05
562		0.000116555
561.5		6.28E-05
561		2.50E-05
560.5		-2.76E-05
560		1.20E-05
559.5		9.84E-05
559		0.000108354
558.5		0.000105481
558		4.64E-05
557.5		6.45E-05
557		-2.56E-05
556.5		0.000113111
556		8.13E-05
555.5		-9.34E-06
555		-3.38E-05
554.5		5.63E-05
554		1.33E-05
553.5		5.31E-05
553		0.000102755
552.5		3.29E-05
552		0.000140751
551.5		9.58E-05
551		0.000182965
550.5		0.000116272
550		0.000129502
549.5		0.000155765
549		0.000161923
548.5		0.000169406
548		0.000211476
547.5		0.000116348
547		0.000177361
546.5		9.05E-05
546		0.00014464
545.5		0.000108721
545		7.13E-05
544.5		6.64E-05
544		6.25E-05
543.5		6.62E-05
543		-4.14E-05
542.5		6.78E-05
542		1.94E-05
541.5		1.67E-05
541		1.03E-05
540.5		6.54E-05
540		0.000114474
539.5		8.00E-05
539		8.36E-05
538.5		2.66E-05
538		0.000100469
537.5		0.000116835
537		9.97E-05
536.5		0.000130871
536		0.000134307
535.5		0.000112481
535		0.000205701
534.5		0.000101585
534		0.000117016
533.5		6.49E-05
533		0.000206922
532.5		-1.44E-05
532		0.000111447
531.5		8.51E-05
531		0.000120864
530.5		2.82E-05
530		9.14E-06
529.5		6.02E-05
529		-1.76E-05
528.5		7.75E-05
528		4.00E-05
527.5		4.98E-05
527		0.000137967
526.5		6.02E-05
526		0.000132149
525.5		0.000115451
525		5.37E-05
524.5		0.000265103
524		9.91E-05
523.5		5.22E-05
523		0.000170338
522.5		0.000182264
522		7.89E-05
521.5		0.000183864
521		0.000107343
520.5		0.000178128
520		7.87E-05
519.5		5.02E-05
519		4.70E-05
518.5		7.49E-05
518		0.000246829
517.5		0.000107545
517		0.000124889
516.5		0.000110034
516		0.000183245
515.5		0.000166015
515		1.42E-05
514.5		0.000107092
514		9.76E-05
513.5		9.20E-05
513		8.08E-05
512.5		0.000117124
512		0.000111936
511.5		0.000126453
511		0.000191964
510.5		0.000115456
510		0.000170191
509.5		5.99E-05
509		6.69E-05
508.5		0.000189074
508		0.000185731
507.5		0.000199124
507		0.000263457
506.5		0.000196667
506		0.00024092
505.5		0.00016738
505		7.09E-05
504.5		0.000110485
504		0.000158445
503.5		0.000118085
503		0.000108583
502.5		0.000167003
502		1.68E-05
501.5		0.000120296
501		0.000167854
500.5		0.000257011
500		6.00E-05
499.5		0.000120155
499		0.000174963
498.5		0.000197437
498		0.000353878
497.5		0.000269781
497		0.000130181
496.5		0.000166079
496		0.000283892
495.5		0.000226234
495		0.000375436
494.5		0.000360217
494		0.00022948
493.5		0.000235983
493		0.000241122
492.5		0.00037256
492		0.000322835
491.5		0.000153595
491		0.000267906
490.5		0.00016736
490		0.000286864
489.5		0.000242051
489		0.00022127
488.5		0.000318533
488		0.0001679
487.5		2.17E-05
487		0.000169519
486.5		8.54E-05
486		0.000164317
485.5		0.000141307
485		6.40E-05
484.5		6.43E-05
484		0.000135268
483.5		0.00011202
483		4.94E-05
482.5		5.80E-05
482		0.000166927
481.5		0.000189909
481		8.66E-05
480.5		0.000108815
480		2.87E-05
479.5		2.90E-05
479		0.000211215
478.5		0.000138165
478		5.96E-05
477.5		0.000282924
477		-6.45E-05
476.5		0.000119736
476		0.000136482
475.5		0.00017777
475		5.94E-05
474.5		5.38E-05
474		9.42E-05
473.5		0.000170223
473		-4.38E-05
472.5		-5.47E-05
472		-0.000132595
471.5		8.42E-05
471		0.000158638
470.5		5.84E-05
470		0.000186384
469.5		0.000114202
469		9.13E-05
468.5		0.000212059
468		0.000149323
467.5		6.15E-05
467		4.76E-05
466.5		0.000160818
466		0.000134004
465.5		0.000126862
465		0.000153805
464.5		0.000113889
464		0.000296116
463.5		4.05E-05
463		0.000123651
462.5		0.000108872
462		3.54E-05
461.5		5.80E-05
461		-3.22E-05
460.5		-3.15E-05
460		0.000130516
459.5		-6.61E-06
459		4.73E-05
458.5		9.74E-06
458		9.03E-05
457.5		6.09E-05
457		9.28E-05
456.5		0.000250961
456		0.00013532
455.5		1.22E-05
455		3.96E-05
454.5		-1.86E-05
454		0.000103076
453.5		0.000160154
453		0.000120282
452.5		0.000132926
452		0.00022576
451.5		0.000303777
451		0.000139578
450.5		-2.05E-05
450		0.000183164
449.5		0.000156688
449		3.79E-05
448.5		0.000130467
448		1.44E-05
447.5		-6.52E-06
447		6.89E-05
446.5		-2.08E-05
446		9.49E-05
445.5		0.00019631
445		8.96E-05
444.5		-0.000138128
444		4.28E-05
443.5		7.67E-05
443		0.000149955
442.5		0.000118986
442		5.32E-05
441.5		0.000112626
441		0.000109755
440.5		9.12E-05
440		0.000135533
439.5		0.000106061
439		0.000103938
438.5		8.53E-05
438		0.000122612
437.5		0.000144106
437		0.000130824
436.5		4.70E-05
436		0.000140924
435.5		0.000148302
435		-1.61E-05
434.5		5.62E-05
434		2.09E-05
433.5		2.96E-05
433		-2.96E-05
432.5		4.56E-05
432		0.000119538
431.5		0.000103182
431		3.03E-05
430.5		-3.60E-05
430		0.000102624
429.5		9.98E-05
429		0.000105048
428.5		7.83E-05
428		0.000218715
427.5		0.000145776
427		0.000177328
426.5		9.16E-05
426		9.24E-05
425.5		8.54E-05
425		-6.19E-05
424.5		0.000268844
424		0.000183261
423.5		0.000130714
423		5.69E-05
422.5		0.000123407
422		0.000290696
421.5		0.000105194
421		-1.60E-05
420.5		7.81E-05
420		8.46E-05
419.5		0.000146407
419		9.00E-05
418.5		4.34E-06
418		9.33E-06
417.5		7.24E-05
417		9.85E-05
416.5		8.64E-05
416		3.58E-05
415.5		0.000188222
415		0.000121414
414.5		0.000163126
414		0.000265502
413.5		0.000405368
413		0.000507113
412.5		0.000665177
412		0.000733467
411.5		0.001174657
411		0.001680552
410.5		0.002040647
410		0.002788878
409.5		0.003810235
409		0.004949531
408.5		0.006685814
408		0.008898312
407.5		0.011881206
407		0.015810603
406.5		0.02113737
406		0.028170329
405.5		0.037271425
405		0.049125932
404.5		0.064085476
404		0.083284602
403.5		0.10852845
403		0.139710382
402.5		0.178650037
402		0.228833899
401.5		0.290854126
401		0.36542353
400.5		0.459282845
400		0.573280811
399.5		0.710264385
399		0.875910103
398.5		1.075145125
398		1.306716681
397.5		1.578212857
397		1.902195096
396.5		2.269011259
396		2.688170433
395.5		3.181642771
395		3.728970051
394.5		4.339613914
394		5.032666683
393.5		5.797406673
393		6.634121895
392.5		7.569643974
392		8.587579727
391.5		9.685466766
391		10.86726189
390.5		12.15731907
390		13.50425625
389.5		14.94620323
389		16.51342583
388.5		18.121315
388		19.77439499
387.5		21.52854729
387		23.32606697
386.5		25.15031433
386		27.02271271
385.5		28.90284729
385		30.75992966
384.5		32.64451981
384		34.4871254
383.5		36.3057785
383		38.11859894
382.5		39.93383408
382		41.65583038
381.5		43.34232712
381		45.07403564
380.5		46.72495651
380		48.36540985
379.5		50.04090118
379		51.68648529
378.5		53.30342484
378		54.95964432
377.5		56.57621002
377		58.14421082
376.5		59.72533417
376		61.27313995
375.5		62.74676514
375		64.15834045
374.5		65.52258301
374		66.79000854
373.5		67.9868927
373		69.09483337
372.5		70.10700989
372		71.02233124
371.5		71.88661957
371		72.68431854
370.5		73.41056824
370		74.12811279
369.5		74.77774048
369		75.39617157
368.5		75.99826813
368		76.59954834
367.5		77.17229462
367		77.72257233
366.5		78.31139374
366		78.81386566
365.5		79.2797699
365		79.74205017
364.5		80.15578461
364		80.52571106
363.5		80.9030304
363		81.17751312
362.5		81.43034363
362		81.6611557
361.5		81.88365936
361		82.09614563
360.5		82.27393341
360		82.45087433
359.5		82.63826752
359		82.82667542
358.5		83.05796051
358		83.22236633
357.5		83.40864563
357		83.58456421
356.5		83.76613617
356		83.88978577
355.5		84.00144196
355		84.0743866
354.5		84.14597321
354		84.13916016
353.5		84.08447266
